s,t,Open,High,Low,Close,Volume,Date
ok,1571702400,1411.62,1423.36,1390.17,1400.87,12823470,2019-10-22 05:30:00
ok,1571788800,1403.0,1412.56,1370.16,1379.32,8512903,2019-10-23 05:30:00
ok,1571875200,1387.84,1427.86,1373.53,1422.96,10449508,2019-10-24 05:30:00
ok,1571961600,1427.57,1427.91,1398.0,1417.76,6248690,2019-10-25 05:30:00
ok,1572134400,1427.47,1431.43,1416.57,1420.78,1391378,2019-10-27 05:30:00
ok,1572307200,1431.93,1466.1,1428.56,1453.27,11892165,2019-10-29 05:30:00
ok,1572393600,1466.1,1470.61,1446.59,1465.21,7541540,2019-10-30 05:30:00
ok,1572480000,1470.06,1475.66,1447.97,1450.6,8982517,2019-10-31 05:30:00
ok,1572566400,1441.34,1448.07,1427.47,1443.22,6416835,2019-11-01 05:30:00
ok,1572825600,1452.13,1457.19,1431.53,1443.96,6490275,2019-11-04 05:30:00
ok,1572912000,1449.36,1455.16,1427.47,1433.71,5854292,2019-11-05 05:30:00
ok,1572998400,1429.15,1432.87,1415.09,1421.43,6749671,2019-11-06 05:30:00
ok,1573084800,1421.52,1449.26,1418.75,1444.9,6499784,2019-11-07 05:30:00
ok,1573171200,1435.39,1445.94,1427.77,1431.93,5546931,2019-11-08 05:30:00
ok,1573430400,1425.59,1430.69,1409.19,1414.39,5241644,2019-11-11 05:30:00
ok,1573603200,1416.57,1462.04,1416.57,1458.47,11641683,2019-11-13 05:30:00
ok,1573689600,1462.14,1467.69,1442.13,1449.01,6580128,2019-11-14 05:30:00
ok,1573776000,1451.89,1472.84,1449.41,1457.04,7241676,2019-11-15 05:30:00
ok,1574035200,1458.82,1472.05,1441.73,1445.5,6496097,2019-11-18 05:30:00
ok,1574121600,1453.22,1500.67,1451.24,1495.57,13926342,2019-11-19 05:30:00
ok,1574208000,1540.45,1557.63,1528.71,1533.12,20092842,2019-11-20 05:30:00
ok,1574294400,1530.49,1541.39,1514.2,1523.16,6875137,2019-11-21 05:30:00
ok,1574380800,1527.62,1554.76,1523.16,1531.98,10315847,2019-11-22 05:30:00
ok,1574640000,1536.58,1550.11,1536.44,1546.89,6989951,2019-11-25 05:30:00
ok,1574726400,1553.38,1561.55,1541.39,1545.6,16305248,2019-11-26 05:30:00
ok,1574812800,1545.3,1560.71,1541.49,1555.11,4450124,2019-11-27 05:30:00
ok,1574899200,1557.88,1569.27,1549.26,1565.46,6344461,2019-11-28 05:30:00
ok,1574985600,1567.09,1567.09,1533.32,1536.58,8565252,2019-11-29 05:30:00
ok,1575244800,1584.98,1599.29,1562.19,1571.6,14410505,2019-12-02 05:30:00
ok,1575331200,1577.79,1579.03,1557.83,1564.07,5995082,2019-12-03 05:30:00
ok,1575417600,1558.23,1562.69,1519.35,1538.12,9685781,2019-12-04 05:30:00
ok,1575504000,1559.22,1564.92,1529.5,1536.29,9203445,2019-12-05 05:30:00
ok,1575590400,1538.42,1553.28,1526.63,1540.3,6038836,2019-12-06 05:30:00
ok,1575849600,1541.54,1562.59,1531.98,1557.83,5834596,2019-12-09 05:30:00
ok,1575936000,1557.29,1558.82,1539.56,1547.28,4694993,2019-12-10 05:30:00
ok,1576022400,1540.99,1559.71,1536.04,1547.73,5706282,2019-12-11 05:30:00
ok,1576108800,1555.5,1559.07,1542.03,1553.47,4765729,2019-12-12 05:30:00
ok,1576195200,1565.16,1575.07,1557.63,1568.04,5846422,2019-12-13 05:30:00
ok,1576454400,1577.05,1578.93,1549.66,1551.89,5488490,2019-12-16 05:30:00
ok,1576540800,1552.04,1564.17,1540.94,1548.03,9379803,2019-12-17 05:30:00
ok,1576627200,1548.32,1565.16,1547.33,1561.05,6803469,2019-12-18 05:30:00
ok,1576713600,1558.92,1599.74,1557.04,1594.83,9464357,2019-12-19 05:30:00
ok,1576800000,1599.83,1602.36,1581.11,1584.08,9816802,2019-12-20 05:30:00
ok,1577059200,1545.45,1562.74,1543.17,1556.64,11587237,2019-12-23 05:30:00
ok,1577145600,1554.17,1557.29,1528.02,1531.93,8329359,2019-12-24 05:30:00
ok,1577318400,1527.17,1538.37,1495.97,1501.17,13734710,2019-12-26 05:30:00
ok,1577404800,1512.66,1531.68,1507.01,1527.87,8158199,2019-12-27 05:30:00
ok,1577664000,1531.43,1533.12,1513.7,1529.7,7902610,2019-12-30 05:30:00
ok,1577750400,1527.52,1529.2,1493.89,1499.83,10246687,2019-12-31 05:30:00
ok,1577836800,1503.75,1512.76,1491.36,1495.42,6463062,2020-01-01 05:30:00
